C#en,C#ec,C#em,C#mn,C#rn,C#ds,C#dn,C#dp,D#de,C#tempo,cD#d,Min,Seg
66,1,4,224,1,24,128,192,adhoc,617908,3-ALTO,10,"17,908"
66,1,4,224,1,24,128,192,adhoc,616189,3-ALTO,10,"16,189"
66,1,4,224,1,24,128,192,adhoc,611095,3-ALTO,10,"11,095"
66,1,4,224,1,24,128,192,adhoc,613363,3-ALTO,10,"13,363"
66,1,4,224,1,24,128,192,adhoc,617350,3-ALTO,10,"17,35"
18,4,16,224,1,24,128,192,adhoc,666671,3-ALTO,11,"6,671"
18,4,16,224,1,24,128,192,adhoc,686583,3-ALTO,11,"26,583"
18,4,16,224,1,24,128,192,adhoc,654832,3-ALTO,10,"54,832"
18,4,16,224,1,24,128,192,adhoc,629316,3-ALTO,10,"29,316"
18,4,16,224,1,24,128,192,adhoc,621922,3-ALTO,10,"21,922"
12,8,32,224,1,24,128,192,adhoc,747350,3-ALTO,12,"27,35"
12,8,32,224,1,24,128,192,adhoc,672019,3-ALTO,11,"12,019"
12,8,32,224,1,24,128,192,adhoc,636942,3-ALTO,10,"36,942"
12,8,32,224,1,24,128,192,adhoc,626886,3-ALTO,10,"26,886"
12,8,32,224,1,24,128,192,adhoc,622425,3-ALTO,10,"22,425"
6,16,64,224,1,24,128,192,adhoc,600483,3-ALTO,10,"0,483"
6,16,64,224,1,24,128,192,adhoc,624862,3-ALTO,10,"24,862"
6,16,64,224,1,24,128,192,adhoc,623287,3-ALTO,10,"23,287"
6,16,64,224,1,24,128,192,adhoc,603107,3-ALTO,10,"3,107"
6,16,64,224,1,24,128,192,adhoc,608544,3-ALTO,10,"8,544"
135,1,2,511,1,24,512,48,france,92633,1-BAIXO,1,"32,633"
135,1,2,511,1,24,512,48,france,93936,1-BAIXO,1,"33,936"
135,1,2,511,1,24,512,48,france,93828,1-BAIXO,1,"33,828"
135,1,2,511,1,24,512,48,france,93153,1-BAIXO,1,"33,153"
135,1,2,511,1,24,512,48,france,94783,1-BAIXO,1,"34,783"
135,2,2,511,1,24,512,48,france,105090,1-BAIXO,1,"45,09"
135,2,2,511,1,24,512,48,france,105923,1-BAIXO,1,"45,923"
135,2,2,511,1,24,512,48,france,105904,1-BAIXO,1,"45,904"
135,2,2,511,1,24,512,48,france,101866,1-BAIXO,1,"41,866"
135,2,2,511,1,24,512,48,france,104073,1-BAIXO,1,"44,073"
66,2,4,511,1,24,512,48,france,86369,1-BAIXO,1,"26,369"
66,2,4,511,1,24,512,48,france,86082,1-BAIXO,1,"26,082"
66,2,4,511,1,24,512,48,france,84459,1-BAIXO,1,"24,459"
66,2,4,511,1,24,512,48,france,85070,1-BAIXO,1,"25,07"
66,2,4,511,1,24,512,48,france,85139,1-BAIXO,1,"25,139"
66,4,4,511,1,24,512,48,france,86947,1-BAIXO,1,"26,947"
66,4,4,511,1,24,512,48,france,87292,1-BAIXO,1,"27,292"
66,4,4,511,1,24,512,48,france,86324,1-BAIXO,1,"26,324"
66,4,4,511,1,24,512,48,france,85939,1-BAIXO,1,"25,939"
66,4,4,511,1,24,512,48,france,85484,1-BAIXO,1,"25,484"
42,4,8,511,1,24,512,48,france,91081,1-BAIXO,1,"31,081"
42,4,8,511,1,24,512,48,france,90680,1-BAIXO,1,"30,68"
